name,city,state,url,website,buy_link,phone,email,type,notes,source,source_url,prices
Plains Cotton Cooperative Association (PCCA),Lubbock,TX,https://pcca.com/,https://pcca.com/,https://pcca.com/contact/,806-763-8011,,cooperative,"Largest farmer-owned cotton coop; West TX, OK, KS; buy cotton bales",AMCOT,https://amcot.org/,Wholesale
Calcot,Bakersfield,CA,https://calcot.com/,https://calcot.com/,https://calcot.com/sales-contact/,661-327-5961,info@calcot.com,warehouse,CGWA; coop + warehouse,CGWA,https://www.cottongwa.org/,Contact for quote
Staple Cotton Cooperative Association (Staplcotn),Greenwood,MS,https://www.staplcotn.com/,https://www.staplcotn.com/,https://www.staplcotn.com/contact/,662-453-6231,cotton.services@staplcotn.com,cooperative,"5,000+ SE growers; 11 states; Memphis/Eastern cotton; Mill Sales Program",AMCOT,https://amcot.org/,Contact for quote; cotton priced daily
Carolinas Cotton Growers Cooperative,Garner,NC,https://www.carolinascotton.com/,https://www.carolinascotton.com/,https://www.carolinascotton.com/contact-us,919-773-2120,ckramer@carolinascotton.com,cooperative,NC/SC growers; cotton sales & warehousing; marketing ckramer@carolinascotton.com,AMCOT,https://amcot.org/,Contact for quote; cotton priced daily
Texas Cotton Growers Cooperative Association,Taylor,TX,,,,,,warehouse,CGWA,CGWA,https://www.cottongwa.org/,Contact for quote
ACG Cotton Marketing LLC,Lubbock,TX,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA; cotton jobber; Lubbock; contact via ACSA,ACSA,https://acsa-cotton.org/our-members,Contact for quote
ADM Cotton,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Allbright Cotton,Memphis,TN,https://www.allbrightcotton.com/,https://www.allbrightcotton.com/,https://www.allbrightcotton.com/,559-276-1664,,merchant,Supima & Acala; California & Southwest; Fresno office,ACSA,https://acsa-cotton.org/our-members,Contact for quote
America Tongzhou Cotton Trading Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Brighann Marketing Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Bunge,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; global commodities; contact via ACSA,ACSA,https://acsa-cotton.org/our-members,Contact for quote
C&D (USA) Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Cargill Cotton,Memphis,TN,https://www.cargill.com/agriculture/cotton,https://www.cargill.com/agriculture/cotton,https://www.cargill.com/agriculture/cotton/location-contact-us,901-454-7851,,merchant,"Global cotton; Memphis, Liverpool",ACSA,https://acsa-cotton.org/our-members,Contact for quote
COFCO Americas Resources Corp,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,ACSA,https://acsa-cotton.org/our-members,Contact for quote
Colly Commodities Inc,Memphis,TN,,https://acsa-cotton.org/our-members,https://acsa-cotton.org/our-members,901-525-2272,,merchant,ACSA merchant; contact via ACSA,ACSA,https://acsa-cotton.org/our-members,Contact for quote
